#from_script: find_mpos_diff_pe.py; samples: mother-sample,father-sample; methyl_types: CG,CHG,CHH; min_cov: 3; chrms: Chr1
chrm	pos
Chr1	11
Chr1	12
Chr1	547
Chr1	2742
Chr1	3697
Chr1	3736
Chr1	4681
Chr1	5830
Chr1	5850
Chr1	5948
Chr1	5951
Chr1	5962
Chr1	5964
Chr1	5970
Chr1	6257
Chr1	6449
Chr1	6450
Chr1	6908
Chr1	6927
Chr1	6984
Chr1	7280
Chr1	7433
Chr1	7484
Chr1	7530
Chr1	7553
Chr1	7576
Chr1	7613
Chr1	7666
Chr1	7687
Chr1	7689
Chr1	7706
Chr1	7766
Chr1	7768
Chr1	7778
Chr1	7804
Chr1	7883
Chr1	7898
Chr1	7903
Chr1	7937
Chr1	7939
Chr1	8013
Chr1	8052
Chr1	8093
Chr1	8097
Chr1	8098
Chr1	8101
Chr1	8125
Chr1	8172
Chr1	8193
Chr1	8267
Chr1	8271
Chr1	8310
Chr1	8349
Chr1	8354
Chr1	8385
Chr1	8429
Chr1	8506
Chr1	8524
Chr1	8535
Chr1	8539
Chr1	8567
Chr1	8587
Chr1	8617
Chr1	8670
Chr1	8699
Chr1	8727
Chr1	8730
Chr1	8736
Chr1	8738
Chr1	8816
Chr1	8817
Chr1	8825
Chr1	8832
Chr1	10962
Chr1	12852
Chr1	13189
Chr1	13190
Chr1	13212
Chr1	13213
Chr1	13215
Chr1	13217
Chr1	13234
Chr1	13279
Chr1	13328
Chr1	13339
Chr1	13340
Chr1	13341
Chr1	13352
Chr1	13360
Chr1	13362
Chr1	13366
Chr1	13546
Chr1	13547
Chr1	13561
Chr1	13562
Chr1	13563
Chr1	13578
Chr1	15873
Chr1	16300
Chr1	17242
Chr1	18903
Chr1	18904
Chr1	19095
Chr1	20198
Chr1	20199
Chr1	21067
Chr1	21222
Chr1	21270
Chr1	21389
Chr1	21398
Chr1	21505
Chr1	21548
Chr1	21553
Chr1	21558
Chr1	21567
Chr1	21572
Chr1	21608
Chr1	21705
Chr1	21721
Chr1	21737
Chr1	21740
Chr1	21780
Chr1	21790
Chr1	21800
Chr1	21991
Chr1	22002
Chr1	22005
Chr1	22023
Chr1	22028
Chr1	22040
Chr1	22050
Chr1	22061
