#from_script: filter_pos_gene_gbm.py; pos_file: sample-data_mpos_diff.tsv; subset_file: None; gff_file: TAIR10_GFF3_genes_browser.gff; use_cds: False; is_opposite: True
chrm	pos
Chr1	11
Chr1	12
Chr1	547
Chr1	2742
Chr1	8738
Chr1	8816
Chr1	8817
Chr1	8825
Chr1	8832
Chr1	10962
Chr1	15873
Chr1	16300
Chr1	17242
Chr1	18903
Chr1	18904
Chr1	19095
Chr1	20198
Chr1	20199
Chr1	21067
Chr1	21222
Chr1	21270
Chr1	21389
Chr1	21398
Chr1	21505
Chr1	21548
Chr1	21553
Chr1	21558
Chr1	21567
Chr1	21572
Chr1	21608
Chr1	21705
Chr1	21721
Chr1	21737
Chr1	21740
Chr1	21780
Chr1	21790
Chr1	21800
Chr1	21991
Chr1	22002
Chr1	22005
Chr1	22023
Chr1	22028
Chr1	22040
Chr1	22050
Chr1	22061
Chr1	22064
Chr1	22069
Chr1	22071
Chr1	22077
Chr1	22090
Chr1	22105
Chr1	22118
Chr1	22151
Chr1	22153
Chr1	22164
Chr1	22169
Chr1	22201
Chr1	22211
Chr1	22215
Chr1	22359
Chr1	22368
Chr1	22371
Chr1	22382
Chr1	22409
Chr1	22559
Chr1	22567
Chr1	22595
Chr1	22609
Chr1	22660
Chr1	22677
Chr1	22710
Chr1	22718
Chr1	22721
Chr1	22728
Chr1	22740
Chr1	22773
Chr1	22809
Chr1	22834
Chr1	22842
Chr1	22844
Chr1	22859
Chr1	22876
Chr1	22878
Chr1	22901
Chr1	22908
Chr1	22983
Chr1	23024
Chr1	23068
Chr1	23073
Chr1	23100
Chr1	23122
Chr1	38372
Chr1	38373
Chr1	38377
Chr1	38378
Chr1	38392
Chr1	38393
Chr1	38714
Chr1	38715
Chr1	38717
Chr1	38718
Chr1	41897
Chr1	42388
Chr1	43983
Chr1	43984
Chr1	43995
Chr1	43996
Chr1	43999
Chr1	44803
Chr1	44804
Chr1	44982
Chr1	47266
Chr1	47267
Chr1	49747
Chr1	52226
Chr1	54693
Chr1	56248
Chr1	56297
Chr1	60724
Chr1	60782
Chr1	60785
Chr1	60787
Chr1	60796
Chr1	60839
Chr1	60870
Chr1	60917
Chr1	60919
Chr1	60929
Chr1	60933
Chr1	60956
