#from_script: filter_pos_gene_gbm.py; pos_file: sample-data_mpos_diff.tsv; subset_file: TAIR10_gBM_bewick-et-al.txt; gff_file: TAIR10_GFF3_genes_browser.gff; use_cds: False; is_opposite: False
chrm	pos
Chr1	23417
Chr1	23433
Chr1	23452
Chr1	23467
Chr1	23519
Chr1	23532
Chr1	23540
Chr1	23547
Chr1	23555
Chr1	23574
Chr1	23576
Chr1	23581
Chr1	23600
Chr1	23616
Chr1	25012
Chr1	25013
Chr1	25192
Chr1	26633
Chr1	26669
Chr1	27115
Chr1	27131
Chr1	28815
Chr1	30224
Chr1	30698
Chr1	30699
Chr1	31039
Chr1	31040
Chr1	31087
Chr1	91719
Chr1	91720
Chr1	92828
Chr1	92829
Chr1	93363
Chr1	93364
Chr1	93370
Chr1	93371
Chr1	93614
Chr1	93615
Chr1	94595
Chr1	95140
Chr1	95390
Chr1	121703
Chr1	121704
Chr1	121711
Chr1	121712
Chr1	121952
Chr1	122991
Chr1	123442
Chr1	123697
Chr1	123701
Chr1	123711
Chr1	123712
Chr1	123716
Chr1	123719
Chr1	123725
Chr1	123738
Chr1	123742
Chr1	123749
Chr1	123849
Chr1	123960
Chr1	124013
Chr1	124036
Chr1	124048
Chr1	124056
Chr1	124426
Chr1	125253
Chr1	125254
Chr1	127570
Chr1	128505
Chr1	128568
Chr1	128733
Chr1	129403
Chr1	129404
Chr1	129517
Chr1	129518
Chr1	129547
Chr1	129548
Chr1	129573
Chr1	130451
Chr1	136715
Chr1	136716
Chr1	159943
Chr1	159944
Chr1	160175
Chr1	160176
Chr1	160194
Chr1	160216
Chr1	160217
Chr1	160776
Chr1	160833
Chr1	160858
Chr1	160875
Chr1	160876
Chr1	160884
Chr1	160888
Chr1	160962
Chr1	160974
Chr1	161079
Chr1	161388
Chr1	161423
Chr1	161565
Chr1	161566
Chr1	161578
Chr1	161582
Chr1	161583
Chr1	161850
Chr1	161853
Chr1	161990
Chr1	162005
Chr1	162006
Chr1	162019
Chr1	162200
Chr1	232893
Chr1	234110
Chr1	234882
Chr1	236513
Chr1	237747
Chr1	240128
Chr1	240184
Chr1	240249
Chr1	240342
Chr1	240460
Chr1	240477
Chr1	241016
Chr1	241904
